complex.connection-incidence	complex	(d_A φ)_e = g_e φ(t e) − φ(s e);  Σ_walk d_A φ = T_walk φ(b) − φ(a)	the connection-valued incidence; its covariant difference telescopes along any walk	edge transports g_e ∈ 𝕜ˣ	L:Holon/Complex:connectionIncidence; L:Holon/Complex:walkRead_connection; R:holonics::geometry::complex::ConnectionIncidence	formal-checked	
holon.quadratic-moment-storage	holon, constitution, receipt	C = Σ_s w_s f_s f_sᵀ = Cᵀ;  ⟨x, Cx⟩ = Σ_s w_s ⟨f_s, x⟩²;  ½⟨x,Cx⟩ ≥ 0 for w ≥ 0	the weighted second moment is one symmetric storage element, passive for nonnegative weights	finite support	L:Holon/MomentStorage:storageEnergy_quadraticMoment; L:Holon/MomentStorage:quadraticMoment_symm; L:Holon/MomentStorage:dotProduct_mulVec_quadraticMoment; L:Holon/MomentStorage:storageEnergy_quadraticMoment_nonneg	formal-checked	
holon.bond-pairing	holon	Bond = (ι→𝕜)×(ι→𝕜), power(f,e) = ⟨e,f⟩;  ⟨⟨(f₁,e₁),(f₂,e₂)⟩⟩ = ⟨e₁,f₂⟩ + ⟨e₂,f₁⟩ symmetric, nondegenerate;  ⟨⟨b,b⟩⟩ = 2 power b	a port carries a flow and an effort; power is their pairing, and the bond pairing is the symmetric form whose Lagrangians are Dirac structures	finite ports over a field	L:Holon/Port:Bond; L:Holon/Port:power; L:Holon/Port:bondForm_self; L:Holon/Port:bondForm_nondegenerate; L:Holon/Port:bondForm_symm; R:holonics::holon::port::Bond	formal-checked	
holon.fredholm-field	holon, coholon, compression	φ(u) = ⟨u, (φ(δ_i))_i⟩;  (∃x Mx = y) ⇔ ∀w (Mᵀw = 0 ⇒ ⟨w,y⟩ = 0)	every functional on a coordinate space is a dot product, and the Fredholm alternative holds over any field	finite coordinates	L:Holon/Port:dual_eq_dotProduct; L:Holon/Port:mem_range_iff_annihilators_vanish	formal-checked	generalizes:compression.fredholm-alternative
holon.skew-hermitian-no-work	holon, constitution	M* = −M ⇒ Re⟨s, Ms⟩ = 0;  (∀s ⟨s, Ws⟩ = 0) ⇒ W = 0 (complex polarization)	a skew-Hermitian map does no work, and a complex form vanishing on the diagonal vanishes	complex matrices	L:Holon/Reaction:re_herm_skew; L:Holon/Reaction:eq_zero_of_herm_zero; L:Holon/Reaction:re_sum_antiConj	formal-checked	
holon.bilinear-reaction-impossible	holon, constitution, navigator	B(c,s) = Σ_k c_k W_k s, Re⟨s, B(c,s)⟩ = 0 ∀c,s ⇒ ∀k W_k = 0	a power-neutral reaction cannot be complex-bilinear in the contrast unless it vanishes (probes c = δ_k and c = iδ_k)	complex contrast c	L:Holon/Reaction:bilinear_reaction_workless_iff_zero; L:Holon/Reaction:bilinearReaction	formal-checked	uses:holon.skew-hermitian-no-work
holon.modulated-skew-reaction	holon, constitution, navigator	J(c) = Σ_k (Re c_k A_k + Im c_k B_k), A_k, B_k skew-Hermitian ⇒ J(c)* = −J(c), Re⟨s, J(c)s⟩ = 0;  realify skew;  ẋ = (realify J(c(τ)) − M)x ⇒ d½|x|²/dτ = −⟨x, Mx⟩	the learned reaction must be a modulated skew interconnection, which contributes zero power for every contrast trajectory	skew-Hermitian A_k, B_k	L:Holon/Reaction:skewReaction_skew; L:Holon/Reaction:skewReaction_workless; L:Holon/Reaction:realify_skew; L:Holon/Reaction:reaction_balance; L:Holon/Reaction:skewReaction	formal-checked	uses:holon.bilinear-reaction-impossible
holon.skew-part-projection	holon, deposition	skewPart W = ½(W − W*): skew-Hermitian, fixes skew W, idempotent, residual Frobenius-orthogonal to every skew-Hermitian matrix	the orthogonal projection of a learned reaction onto the workless (skew-Hermitian) subspace	complex matrices	L:Holon/Reaction:skewPart; L:Holon/Reaction:skewPart_of_skew; L:Holon/Reaction:skewPart_idem; L:Holon/Reaction:skewPart_orthogonal; L:Holon/Reaction:skewPart_skew; R:holonics::holon::reaction::SkewProjection	formal-checked	uses:holon.modulated-skew-reaction
holon.hermitian-slice-runaway	holon	W = κ > 0, contrast Δ = s: explicit gain 1 + hκ|s| > 1, increasing in |s|; skewPart W = 0, projected step with resistance r ≥ 0 has gain 1 − hr ≤ 1	a Hermitian slice driven by its own amplitude runs away; its skew projection is bounded	h > 0, κ > 0	L:Holon/Reaction:runaway_witness	counterexample	obstructs:holon.bilinear-reaction-impossible
holon.pushforward-morphism	holon, tower	(f', e') = (Pf, e'), e = Pᵀe': ⟨e', Pf⟩ = ⟨Pᵀe', f⟩;  morphisms compose	a port map pushes flows forward and pulls efforts back, preserving power	any port matrix P	L:Holon/Restriction:power_pushforward; L:Holon/Restriction:IsMorphism.comp; L:Holon/Restriction:pushforward; R:holonics::holon::restriction::PortMap	formal-checked	uses:holon.pullback-law
holon.pushforward-dirac	holon, tower	D Dirac ⇒ pushforwardD(P, D) = graph(P) ∘ negEffort(D) Dirac, for any P	the pushforward of a Dirac structure along any port map is Dirac, injective or not (finite dimension)	finite ports over a field	L:Holon/Restriction:pushforwardD_isDirac; L:Holon/Restriction:graphD_isDirac; L:Holon/Restriction:mem_pushforwardD; L:Holon/Restriction:negEffort_isDirac	formal-checked	uses:holon.dirac-composition
holon.gyrator-projection-coholon	holon, receipt	gyrator pushed along [1, 0] contains (0, e) ∀e	projecting a gyrator onto one port returns the passive coholon	witness	L:Holon/Restriction:gyrator_projection_witness	formal-checked	instance-of:holon.pushforward-dirac
holon.occurrence-holon	holon, receipt	Holon = AddressedPassage (occurrences, source, target ports) + receiver current per occurrence;  BoundaryHolon: ∂(receive o) = target o − source o;  ∂(Σ_o receive o) = Σ target − Σ source	the elementary occurrence-bearing Holon is the event chart of the Holon; its finite-population boundary is total outgoing minus total incoming, with no conservation assumed beyond the constitutive law	finite occurrence population	L:Foundation/Holon:Holon; L:Foundation/Holon:BoundaryHolon; L:Foundation/Holon:boundary_totalCurrent	formal-checked	
holon.occurrence-composition-pullback	holon, holarchy	comp(H₂, H₁): occurrences = pullback over the shared boundary; composite preimage fibre ≃ pairs of component fibres; the joining face cancels	serial composition keeps both component occurrences and their exact joining equality	additive boundary Holons	L:Foundation/Holon:comp; L:Foundation/Holon:compPreimageFibreEquiv; L:Foundation/Holon:interaction_middle_boundary	formal-checked	uses:holon.occurrence-holon
holon.lineage-addressed-passage	holon, tube	AddressedPassage X Y = (occurrences, src, tgt);  comp = pullback of adjacent occurrence populations;  shadow(comp) = Rel.comp(shadow, shadow)	an addressed passage retains which intermediate occurrence carried a transport, which relational composition forgets	finite passages	L:Foundation/Lineage:AddressedPassage; L:Foundation/Lineage:shadow_comp; L:Foundation/Lineage:join_split; L:Foundation/Lineage:split_join	formal-checked	
holon.relation-hides-occurrences	holon	one relational edge ← single unit passage and parallel unit passage (two distinct occurrences)	the same relation can hide different occurrence populations; persistence belongs to lineage	witness	L:Foundation/Lineage:theSameRelationCanHideDifferentOccurrencePopulations; L:Foundation/Lineage:theParallelOccurrencesRemainDistinct	counterexample	obstructs:holon.lineage-addressed-passage
holon.causal-natural-family	holon, holarchy, receiver	NaturalHolonFamily over a parameter category: occurrences, ports and receiver faces functorial, structure maps natural; arrows map preimage fibres forward; equivalence only for an isomorphism of Holon diagrams (Rebase)	a parameter category makes the occurrence Holon a causal-natural family; a tensor carrier alone supplies none of this	strict Type-valued presentation	L:Foundation/CausalNaturalHolon:CausalNaturalHolon; L:Foundation/CausalNaturalHolon:receive_natural; L:Foundation/CausalNaturalHolon:mapPreimageFibre; L:Foundation/CausalNaturalHolon:receiverTransformer_natural	formal-checked	uses:holon.occurrence-holon
holon.relation-ladder	holon, receiver, compression	rungs: x = y ⊢ x ⇝ y (lineage), x ≅ y (situation automorphism), x ~_ρ y, x ~_(G,R) y (equal potential = futureAgreement), x ≈_(ρ,ε) y (width ≤ ε); no rung below identity entails identity	identity belongs to an occurrence, persistence to lineage, sameness to a receiver, potential to a family of futures; the rungs form a partial, non-total entailment order	declared situation (G, R), tolerance ε	L:Foundation/RelationLadder:no_rung_below_identity_entails_identity; L:Foundation/RelationLadder:identityImpliesEveryRung; L:Foundation/RelationLadder:entails_is_not_total; L:Foundation/RelationLadder:Rung	formal-checked	
holon.ladder-implications	holon, receiver	equal potential ⇒ present agreement ⇒ within any ε ≥ 0;  situation automorphism with natural transports and receivers ⇒ equal potential; enlarging (G,R) refines; one separator refutes	the implications that hold on the relation ladder	declared situation	L:Foundation/RelationLadder:equalPotentialImpliesPresentAgreement; L:Foundation/RelationLadder:receiverEqualImpliesWithinTolerance; L:Foundation/RelationLadder:situationAutoImpliesEqualPotential; L:Foundation/RelationLadder:equalPotentialAntitone; L:Foundation/RelationLadder:separatorRefutesEqualPotential	formal-checked	uses:holon.relation-ladder
holon.ladder-counterexamples	holon, receiver	receiver equality ⇏ equal potential; equal potential ⇏ isomorphism; isomorphism ⇏ identity; continuation ⇏ any equal face; lossy continuation ⇏ isomorphism; tolerance not transitive (0,1,2 at ε=1), n-step chain within nε	every failing implication of the ladder has a constructed witness; each equivariance half is necessary	witnesses	L:Foundation/RelationLadder:receiverEqualityWithoutEqualPotential; L:Foundation/RelationLadder:equalPotentialWithoutIsomorphism; L:Foundation/RelationLadder:isomorphismWithoutIdentity; L:Foundation/RelationLadder:lossyContinuationIsNotAnIsomorphism; L:Foundation/RelationLadder:toleranceIsNotTransitive; L:Foundation/RelationLadder:withinToleranceIterate; L:Foundation/RelationLadder:receiverEquivarianceIsNecessary; L:Foundation/RelationLadder:generatorEquivarianceIsNecessary	counterexample	obstructs:holon.relation-ladder
holon.four-and-two-squared	holon, receiver	4 ≠ 2^2 as Expression, eval 4 = eval 2^2;  bumpExponent separates them; postcompose-add family gives equal potential	the equality belongs to the scalar receiver and does not ascend to identify the formulations	Expression witness	L:Foundation/RelationLadder:fourAndTwoSquaredAgreeUnderEval; L:Foundation/RelationLadder:fourAndTwoSquaredAreNotIdentical; L:Foundation/RelationLadder:bumpExponentSeparatesThem; L:Foundation/RelationLadder:theEqualityBelongsToTheScalarReceiver	counterexample	instance-of:holon.relation-ladder
holon.song-is-a-family	holon, receiver	transpose, scale tempo, revoice are musically invisible (interval and rhythm contours); two enactments agree musically; the absolute receiver separates them	a song is the family of its enactments, not one enactment	Enactment witness	L:Foundation/RelationLadder:admissibleTransformationsAreMusicallyInvisible; L:Foundation/RelationLadder:theSongIsTheFamilyNotOneEnactment; L:Foundation/RelationLadder:theAbsoluteReceiverSeparatesThem	formal-checked	instance-of:holon.relation-ladder
holon.addressed-boundary-join	holon, complex	∂(o) = −[source] + [target];  serial join returns (incoming, middle, outgoing) and the middle face cancels through the pullback equality	edge-boundary cancellation at a join, not ∂² = 0 and not a conservation law	heterogeneous free abelian faces	L:Foundation/AddressedBoundary:boundary_join; L:Foundation/AddressedBoundary:boundary_comp; L:Foundation/AddressedBoundary:additiveBoundary_shadow_forgets_the_carrier	formal-checked	uses:holon.lineage-addressed-passage
holon.port-storage-rate	holon, constitution, contact	A = (Ω − M)G: AᵀG + GA = −2GMG;  ⟨v, (AᵀG + GA)v⟩ = 2⟨Gv, Av⟩ = −2 P_diss(Gv);  M = 0 ⇒ 0	the storage rate form of a port-Hamiltonian medium reads only its contact dissipation; strict decay exactly on the slip-active subspace	Gᵀ = G, Ωᵀ = −Ω, Mᵀ = M	L:Transport/HolonicInteraction:port_storage_rate; L:Transport/HolonicInteraction:storage_rate_reading; L:Transport/HolonicInteraction:storage_rate_nonpos; L:Transport/HolonicInteraction:storage_rate_neg_of_active_slip; L:Transport/HolonicInteraction:port_storage_rate_zero_of_no_dissipation	formal-checked	uses:contact.material
holon.conservative-core	holon, constitution, globe	MGv = 0 ⇒ Av = ΩGv;  core = ⋂_k ker(MG Aᵏ) is A-invariant and ⊆ ker(MG)	on the modes dissipation cannot see the navigator is the skew structure alone: the conservative core	port-Hamiltonian generator	L:Transport/HolonicInteraction:generator_is_conservative_on_the_core; L:Transport/HolonicInteraction:core_is_generator_invariant; L:Transport/HolonicInteraction:core_le_ker	formal-checked	uses:globe.observability-kernel
holon.eigenvalue-reads-dissipation	holon, parametron, constitution	Av = λv ⇒ λ⟨v,Gv⟩ = −⟨Gv, M Gv⟩;  G ≻ 0 on v ⇒ λ ≤ 0 and (λ = 0 ⇔ MGv = 0)	a real eigenvalue is the dissipated power per unit storage; on positive storage it is nonpositive and zero exactly where dissipation is blind (finite LaSalle)	Gᵀ = G, Ωᵀ = −Ω, M ⪰ 0	L:Transport/HolonicInteraction:eigenvalue_reads_the_dissipation; L:Transport/HolonicInteraction:real_eigenvalue_nonpos_and_zero_iff_unseen	formal-checked	uses:holon.port-storage-rate
holon.no-structure-self-adjoint	holon, constitution	A = −MG: AᵀG = GA;  GA = −GMG	a navigator with no skew structure is self-adjoint in the G-pairing; with G ≻ 0 its spectrum is real (Horn–Johnson 4.5.15, cited)	Gᵀ = G, Mᵀ = M	L:Transport/HolonicInteraction:selfAdjoint_of_no_structure; L:Transport/HolonicInteraction:symmetrized_generator_of_no_structure	formal-checked	
holon.indefinite-storage-no-placement	holon, parametron	G = diag(1,−1), A = [[0,1],[1,0]]: AᵀG + GA = 0, yet A has eigenvalue +1	a vanishing rate form licenses no spectral placement without positive definite storage	witness	L:Transport/HolonicInteraction:indefiniteStorage_rate_form_vanishes; L:Transport/HolonicInteraction:swapGenerator_has_a_right_half_plane_mode; L:Transport/HolonicInteraction:vanishing_rate_form_places_no_spectrum	counterexample	obstructs:holon.eigenvalue-reads-dissipation
holon.stokes	holon, coholon, complex	⟨dȞ, H⟩ = ⟨Ȟ, ∂H⟩,  d = ∂ᵀ = ∂.dualMap	Stokes is the definition of the coboundary as the dual of the boundary: the one pairing between Holon and coholon	any linear boundary over a commutative ring	L:Geometry/ExteriorBoundary:stokes_pairing; L:Objects/Pairing:coboundary_face; D:docs/ELEMENTARY_OBJECTS.md#1-holon-and-coholon	formal-checked	
holon.ket-chart	holon, coholon, navigator	|H⟩_F = Σ_I H_F^I |e_I⟩_F;  Ĝ_(F'←F) = Σ G^j_i |e_j⟩_(F') ⟨e^i|_F;  |H'⟩_(F') = Ĝ_(F'←F)|H⟩_F;  face ⟨r|H⟩	a Holon in a declared tensor chart; dual bras need not be orthonormal transposes; a metric identification supplies its conjugation	declared frame and pairing	D:docs/HOLON.md#the-object-and-its-notation; D:docs/HOLONIC_NOTATION.md	definition	uses:holon.coholon
holon.operator-is-a-holon	holon, navigator, contact	Ĝ ∈ V_(F') ⊗ V_F*;  bilinear interaction 𝓘 ∈ V_C ⊗ V_A* ⊗ V_B*;  joint |H⟩ = Σ h_ab |a⟩⊗|b⟩ need not factor	a linear operator is a tensor-valued Holon; keeping the joint tensor prevents inventing an unsupported product combination	finite port chart	D:docs/HOLON.md#the-object-and-its-notation	definition	uses:holon.ket-chart
holon.medium-storage-rate	holon, constitution, contact	q̇ = (Ω − M_contact)Gq + Bu, V = ½qᵀGq: V̇ = −(Gq)ᵀM_contact(Gq) + (Gq)ᵀBu (+ ½qᵀĠq when G moves)	the medium's flux law; nonincreasing V controls the norm only for positive definite G, and attraction needs undamped invariant modes excluded	G = Gᵀ fixed, Ωᵀ = −Ω, M_contact ⪰ 0	D:docs/HOLON.md#situated-generator-inference-dormant-modes-and-action; L:Transport/HolonicInteraction:port_storage_rate; L:Holon/Conformance:medium_rate_agrees	proved-derived	uses:holon.port-storage-rate
holon.interference-before-intensity	holon, receipt, parametron	|a + b|² = |a|² + |b|² + 2 Re(a b̄)	complex current addition precedes intensity: phase and interference cannot be recovered from component magnitudes	complex currents	D:docs/HOLON.md#algebra-and-calculus-in-those-charts	proved-standard	
holon.chain-rule-adjoint	holon, navigator, coholon	D(g∘f)_x = Dg_(f(x)) Df_x;  (D(g∘f))* = Df* Dg*;  (A⊗B)(x⊗y) = Ax ⊗ By	differentiation composes forward and the adjoint reverses the order; material and frame dependence add their own terms	differentiable composition	D:docs/HOLON.md#algebra-and-calculus-in-those-charts; L:Transport/AddressedLinearizedPassage:addressedTwoStep_adjoint_reverseOrder	proved-standard	uses:navigator.adjoint-reverse-order
holon.generation-commutes-with-decoder	holon, navigator, receipt	Holon.ofEvolution prepare evolve read; evolution and decoder commute ⇒ generation in the encoded state returns the same face; joined occurrences of two deterministic refinements ≃ the seed population	generation is an operation on Holons with no output-token order; neither result requires a trajectory archive	deterministic refinements	L:Foundation/Holon:ofEvolution_receive_eq_encoded; L:Foundation/Holon:ofEvolutionCompOccurrenceEquiv; D:docs/HOLON.md#generation-is-an-operation-on-holons	formal-checked	uses:holon.occurrence-holon
holon.map-receiver-not-rebase	holon, receiver	mapReceiver changes the reading, keeps ports and occurrence population, may be noninjective; Rebase transports the whole diagram through commuting squares and is invertible	changing a reading is not a rebase; a rebase preserves preimage fibres		L:Foundation/Holon:mapReceiver; L:Foundation/Holon:Rebase.preimageFibreEquiv; D:docs/HOLON.md#generation-is-an-operation-on-holons	definition	uses:holon.occurrence-holon
holon.joint-composition	holon, holarchy	cartesian product adds independent degrees of freedom; a diagonal shares one occurrence; off-diagonal keeps the rest; preimage fibres of the cartesian join ≃ products	joint composition distinguishes independent occurrences from a shared one	occurrence Holons	L:Foundation/Holon:cartesian; L:Foundation/Holon:diagonal; L:Foundation/Holon:cartesianPreimageFibreEquiv	definition	uses:holon.occurrence-holon
